id_siswa,durasi_klik,waktu_modul,ulang_video,skor_kuis,login_frekuensi,label_churn_kmeans
S-0001,358.89,15.08,1.0,16.78,1,1
S-0002,1731.27,83.7,2.0,36.04,6,0
S-0003,321.16,13.88,0.0,14.86,3,1
S-0004,221.01,16.92,1.0,73.79,1,1
S-0005,1603.48,48.91,1.0,100.0,4,2
S-0006,299.19,20.04,1.0,50.83,0,1
S-0007,1232.29,53.3,2.0,91.96,7,2
S-0008,1029.65,52.64,1.0,100.0,5,2
S-0009,1750.08,75.25,8.0,43.77,6,0
S-0010,316.2,12.09,0.0,82.11,2,2
S-0011,2001.26,112.93,4.0,81.47,3,0
S-0012,443.09,16.36,1.0,37.4,2,1
S-0013,204.44,11.19,1.0,42.52,1,1
S-0014,255.97,17.55,1.0,60.36,0,1
S-0015,1599.68,117.53,5.0,70.75,4,0
S-0016,1641.05,93.15,6.0,96.13,6,0
S-0017,2253.13,79.37,3.0,70.86,5,0
S-0018,272.48,17.52,1.0,33.37,1,1
S-0019,369.21,17.37,0.0,54.3,2,1
S-0020,2217.47,79.76,4.0,68.23,6,0
S-0021,1354.49,52.4,1.0,100.0,6,2
S-0022,2008.35,90.23,2.0,49.18,4,0
S-0023,2821.01,119.14,7.0,53.52,5,0
S-0024,2394.12,87.62,2.0,56.3,3,0
S-0025,2336266.26,71.94,5.0,63.33,5,0
S-0026,381.82,17.72,1.0,24.03,0,1
S-0027,2129.23,88.38,8.0,60.99,5,0
S-0028,2278.09,105.71,6.0,88.53,4,0
S-0029,1804.83,44.57,0.0,100.0,5,2
S-0030,1874.94,92.79,8.0,49.97,5,0
S-0031,83.62,12.79,0.0,51.3,1,1
S-0032,187.71,18.48,0.0,33.75,2,1
S-0033,180.98,12.02,0.0,10.0,1,1
S-0034,1742.49,58.84,7.0,54.69,3,0
S-0035,293.66,17.19,0.0,54.36,0,1
S-0036,173.29,10.73,1.0,35.81,1,1
S-0037,3155.29,69.29,8.0,42.89,6,0
S-0038,1471.91,68.73,9.0,87.88,4,0
S-0039,2252.31,109.02,4.0,41.51,5,0
S-0040,3122123.06,88.95,9.0,53.21,5,0
S-0041,3341.18,96.22,9.0,81.61,6,0
S-0042,1371.38,39.81,1.0,85.02,4,2
S-0043,2600.51,95.03,6.0,62.89,5,0
S-0044,1833.9,107.51,3.0,63.57,5,0
S-0045,2317.8,96.17,0.0,46.23,4,0
S-0046,1994.93,87.08,4.0,75.16,4,0
S-0047,2585.05,76.31,4.0,43.68,6,0
S-0048,338.98,10.18,1.0,10.0,2,1
S-0049,1000.55,31.21,2.0,86.25,4,2
S-0050,3002.59,86.0,6.0,78.38,7,0
S-0051,240.34,23.04,0.0,17.51,1,1
S-0052,512.09,9.9,0.0,43.7,1,1
S-0053,1884.59,41.64,2.0,94.52,3,2
S-0054,401.05,12.19,1.0,16.94,0,1
S-0055,1570.39,54.68,6.0,83.12,4,0
S-0056,123.91,21.78,1.0,49.5,0,1
S-0057,2508118.48,80.88,3.0,74.77,3,2
S-0058,1320.19,96.59,8.0,46.85,6,0
S-0059,1530.59,49.39,2.0,92.02,4,2
S-0060,384.08,13.23,0.0,37.15,1,1
S-0061,2327.97,92.0,0.0,60.14,5,2
S-0062,382.81,6.93,1.0,10.0,3,1
S-0063,3100.36,86.11,2.0,53.52,6,0
S-0064,184.97,10.39,0.0,56.21,1,1
S-0065,2832.88,98.77,4.0,75.49,5,0
S-0066,304.19,12.02,1.0,34.94,3,1
S-0067,207.85,12.5,1.0,34.99,1,1
S-0068,2147400.69,109.04,4.0,47.21,4,0
S-0069,1355.22,60.47,2.0,81.29,4,2
S-0070,2080.13,92.16,5.0,60.27,4,0
S-0071,2468.67,75.62,5.0,51.97,5,0
S-0072,231.81,27.68,1.0,63.28,0,1
S-0073,329.2,9.06,0.0,27.3,1,1
S-0074,1816741.42,58.52,1.0,70.0,4,2
S-0075,408.13,16.3,1.0,11.05,1,1
S-0076,500.0,38.91,1.0,88.96,3,2
S-0077,1739.65,69.64,3.0,32.3,5,0
S-0078,106.72,22.37,0.0,32.2,2,1
S-0079,276.55,16.77,1.0,10.0,1,1
S-0080,2065781.28,119.3,5.0,67.91,6,0
S-0081,330.12,11.89,1.0,30.28,1,1
S-0082,246.08,13.89,1.0,48.78,0,1
S-0083,1490.01,61.99,2.0,91.9,4,2
S-0084,278.26,13.11,1.0,38.03,2,1
S-0085,2188.71,81.88,6.0,67.61,5,0
S-0086,2539.67,88.83,5.0,64.95,4,0
S-0087,1027226.1,40.76,0.0,97.67,3,2
S-0089,1039.1,43.13,0.0,81.98,4,2
S-0090,647.45,44.49,1.0,91.2,2,2
S-0091,1988.33,69.03,9.0,75.52,5,0
S-0092,994.53,43.34,1.0,95.28,6,2
S-0093,254.96,14.82,1.0,45.44,2,1
S-0094,2044.68,75.38,5.0,74.77,4,0
S-0095,987800.06,30.0,0.0,84.45,3,2
S-0096,285098.48,14.18,1.0,50.61,1,1
S-0097,432.55,19.69,0.0,47.66,1,1
S-0098,377886.71,15.64,1.0,49.8,2,1
